Tema,Tarefas
Teorema de Euler,Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Blockchain e Criptomoedas,Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Big Bang e a Origem do Universo,Escreve um argumento defendendo e outro contra {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.
Revolução Francesa,Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Escreve um argumento defendendo e outro contra {tema}.
Reações Químicas,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Psicologia Comportamental,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um poema ou música sobre {tema}.
Expansão Marítima Portuguesa,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Neurociência,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um discurso político que mencione a importância de {tema}.; Escreve um poema ou música sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.
Grandes Descobrimentos,Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Geometria Fractal,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
O Sistema Solar,Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.
